	Kanji	English	Example Sentence	Example Sentence Reading	English Sentence	writing score	Reading	reading score
16	九つ	nine (things)	娘は明日<b>九つ</b>になります。	むすめ は あす <b>ここのつ</b> に なります	My daughter's turning nine tomorrow.	0	ここのつ	0
17	十	ten	その子は指で<b>十</b>数えました。	その こ は ゆび で <b>じゅう</b> かぞえました	The child counted to ten on her fingers.	0	じゅう	0
18	百	hundred	私の祖母は<b>百</b>才です。	わたし の そぼ は <b>ひゃく</b>さい です	My grandmother is 100 years old.	0	ひゃく	0
19	千	thousand	<b>千</b>円貸してください。	<b>せん</b>えん かして ください	Please lend me 1000 yen.	0	せん	0
20	万	ten thousand	この靴は1<b>万</b>円です。	この くつ は いち<b>まん</b>えん です	These shoes are ten thousand yen.	0	まん	0
21	円	yen@circle	カレーライスは700<b>円</b>です。@そこに大きな<b>円</b>を描いて。	かれーらいす は ななひゃく<b>えん</b> です@そこ に おおき な <b>えん</b> を かいて	The curry and rice is 700 yen.@Draw a big circle there.	0	えん@えん	0
22	時	time	<b>時</b>の経つのは早い。	<b>とき</b> の たつ の は はやい	Time passes by quickly.	0	とき	0
23	する	"do, make"	友達と一緒に宿題を<b>した</b>。	ともだち と いっしょ に しゅくだい を <b>した</b>	I did my homework with a friend.	0	する	0
24	時々	sometimes	彼は<b>時々</b>遅刻します。	かれ は <b>ときどき</b> ちこく します	He's sometimes late.	0	ときどき	0
25	六日	"six days, 6th of the month"	<b>六日</b>前に日本に帰ってきました。	<b>むいか</b>まえ に にほん に かえって きました	I came back to Japan six days ago.	0	むいか	0
26	三日	"three days, 3rd of the month"	手紙が届くのに<b>三日</b>かかりました。	てがみ が とどく の に <b>みっか</b> かかりました	It took three days for the letter to arrive.	0	みっか	0
27	五日	"five days, 5th of the month"	五月<b>五日</b>は祝日です	ごがつ <b>いつか</b> は しゅくじつ です	May 5th is a holiday.	0	いつか	0
28	八日	"eight days, 8th of the month"	<b>八日</b>からイギリスに行きます。	<b>ようか</b> から いぎりす に いきます	I go to England on the eighth.	0	ようか	0
29	二十日	"20 days, 20th of the month"	来月の<b>二十日</b>は弟の誕生日です。	らいげつ の <b>はつか</b> は おとうと の たんじょうび です	The 20th of next month is my little brother's birthday.	0	はつか	0
30	二日	"two days, 2nd of the month"	私は<b>二日</b>待った。	わたし は <b>ふつか</b> まった	I waited two days.	0	ふつか	0
31	九日	"nine days, 9th of the month"	<b>九日</b>に荷物が届きます。	<b>ここのか</b> に にもつ が とどきます	The package will arrive on the ninth.	0	ここのか	0
32	ところ	place	私は友達の<b>ところ</b>に泊まった。	わたし は ともだち の <b>ところ</b> に とまった	I stayed at my friend's place for the night.	0	ところ	0
33	一日	1st of the month	来月の<b>一日</b>は空いていますか。	らいげつ の <b>ついたち</b> は あいています か	Are you free on the 1st of next month?	0	ついたち	0
34	十日	"ten days, 10th of the month"	<b>十日</b>後に帰ります。	<b>とおか</b>ご に かえります	I'll come home in ten days.	0	とおか	0
35	七日	"seven days, 7th of the month"	先月の<b>七日</b>に孫が生まれました。	せんげつ の <b>なのか</b> に まご が うまれました	My grandchild was born on the seventh of last month.	0	なのか	0
36	四日	"four days, 4th of the month"	新学期は来月の<b>四日</b>からです。	しんがっき は らいげつ の <b>よっか</b> から です	The new school term starts on the fourth of next month.	0	よっか	0
37	月	moon	今夜は<b>月</b>がとてもきれいです。	こんや は <b>つき</b> が とても きれい です	The moon looks so beautiful tonight.	0	つき	0
38	水	water	<b>水</b>を一杯ください。	<b>みず</b> を いっぱい ください	Please give me a glass of water.	0	みず	0
39	日曜日	Sunday	<b>日曜日</b>は海に行きました。	<b>にちようび</b> は うみ に いきました	We went to the seaside on Sunday.	0	にちようび	0
40	土曜日	Saturday	<b>土曜日</b>の夜はクラブに行きます。	<b>どようび</b> の よる は くらぶ に いきます	I'm going to a club Saturday night.	0	どようび	0
41	金曜日	Friday	<b>金曜日</b>の夜は友達と出かけます。	<b>きんようび</b> の よる は ともだち と でかけます	I go out with my friends on Friday nights.	0	きんようび	0
42	月曜日	Monday	<b>月曜日</b>に会いましょう。	<b>げつようび</b> に あいましょう	Let's meet on Monday.	0	げつようび	0
43	木曜日	Thursday	<b>木曜日</b>は仕事が休みです。	<b>もくようび</b> は しごと が やすみ です	Thursday is my day off work.	0	もくようび	0
44	曜日	day of the week	<b>曜日</b>を間違えました。	<b>ようび</b> を まちがえました	I got the day of the week wrong.	0	ようび	0
45	火曜日	Tuesday	<b>火曜日</b>に会議があります。	<b>かようび</b> に かいぎ が あります	There's a meeting on Tuesday.	0	かようび	0
46	水曜日	Wednesday	<b>水曜日</b>はバイトがあります。	<b>すいようび</b> は ばいと が あります	I have a part-time job on Wednesdays.	0	すいようび	0
47	週	week	その次の<b>週</b>は空いてますか。	その つぎ の <b>しゅう</b> は あいてます か	Are you free the following week?	0	しゅう	0
48	年	"year, age"	新しい<b>年</b>が始まりました。	あたらしい <b>とし</b> が はじまりました	A new year has started.	0	とし	0
49	分かる	understand	質問の意味は<b>分かりました</b>か。	しつもん の いみ は <b>わかりました</b> か	Did you understand the meaning of the question?	0	わかる	0
50	そう	"in such manner, that way"	私も<b>そう</b>思います。	わたし も <b>そう</b> おもいます	That's what I think too.	0	そう	0
51	先	"ahead, first"	お<b>先</b>にどうぞ。	お<b>さき</b>に どうぞ	Please go ahead.	0	さき	0
52	今年	this year	<b>今年</b>はイタリアに旅行したい。	<b>ことし</b> は いたりあ に りょこう したい	I want to travel to Italy this year.	0	ことし	0
53	今	now	彼は<b>今</b>、勉強しています。	かれ は <b>いま</b> べんきょう して います	He's studying now.	0	いま	0
54	今月	this month	<b>今月</b>はとても忙しい。	<b>こんげつ</b> は とても いそがしい	I'm very busy this month.	0	こんげつ	0
55	今週	this week	<b>今週</b>は日本語のテストがあります。	<b>こんしゅう</b> は にほんご の てすと が あります	There's a Japanese test this week.	0	こんしゅう	0
56	来る	come	彼は昼過ぎに<b>来ます</b>。	かれ は ひるすぎ に <b>きます</b>	He'll come after lunch.	0	くる	0
57	来年	next year	<b>来年</b>一緒に旅行しましょう。	<b>らいねん</b> いっしょ に りょこう しましょう	Let's travel together next year.	0	らいねん	0
58	行く	go	日曜日は図書館に<b>行きます</b>。	にちようび は としょかん に <b>いきます</b>	I go to the library on Sundays.	0	いく	0
59	帰る	"return, go back"	家に<b>帰ろう</b>。	うち に <b>かえろう</b>	Let's go home.	0	かえる	0
60	大きい	big	あの<b>大きい</b>建物は何ですか。	あの <b>おおきい</b> たてもの は なん です か	What's that big building?	0	おおきい	0
61	小さい	small	<b>小さい</b>花が咲いています。	<b>ちいさい</b> はな が さいて います	Small flowers are blooming.	0	ちいさい	0
62	少ない	"few, little"	今年は雨が<b>少ない</b>です。	ことし は あめ が <b>すくない</b> です 。	There's not much rain this year.	0	すくない	0
63	少し	"a bit, a little while"	<b>少し</b>疲れました。	<b>すこし</b> つかれました	I'm a little tired.	0	すこし	0
64	多い	lots of	京都にはお寺が<b>多い</b>。	きょうと に は おてら が <b>おおい</b>	There are a lot of temples in Kyoto.	0	おおい	0
65	多分	"probably, perhaps"	彼女は<b>多分</b>家で寝ています。	かのじょ は <b>たぶん</b> いえ で ねて います	She's probably sleeping at home.	0	たぶん	0
66	上げる	"raise, improve"	彼は荷物をあみだなに<b>上げた</b>。	かれ は にもつ を あみだな に <b>あげた</b>	He put the luggage on the luggage rack.	0	あげる	0
67	上る	go up	猫が屋根に<b>上っている</b>。	ねこ が やね に <b>のぼって いる</b>	The cat's up on the roof.	0	のぼる	0
68	右	right	<b>右</b>のポケットにハンカチが入っています。	<b>みぎ</b> の ぽけっと に はんかち が はいって います	There's a handkerchief in my right pocket.	0	みぎ	0
69	左	left	そこを<b>左</b>に曲がってください。	そこ を <b>ひだり</b> に まがって ください	Please turn left there.	0	ひだり	0
70	人	person	彼は優しい<b>人</b>です。	かれ は やさしい <b>ひと</b> です	He's a nice guy.	0	ひと	0
71	一人	"one, one person"	そこには私<b>一人</b>しかいなかった。	そこ に は わたし <b>ひとり</b> しか いなかった	I was the only one there.	0	ひとり	0
72	どう	"how, what"	あなたは<b>どう</b>思いますか。	あなた は <b>どう</b> おもいます か	What do you think?	0	どう	0
73	入れる	put in	彼はかばんに手帳を<b>入れた</b>。	かれ は かばん に てちょう を <b>いれた</b>	He put the appointment book in his bag.	0	いれる	0
74	入る	enter	寒いので中に<b>入って</b>ください。	さむい の で なか に <b>はいって</b> ください	It's cold so please come inside.	0	はいる	0
75	出る	"go out, leave"	今朝は早く家を<b>出ました</b>。	けさ は はやく いえ を <b>でました</b>	I left the house early this morning.	0	でる	0
76	出来る	"can do, be good at"	彼女はイタリア語が<b>出来ます</b>。	かのじょ は いたりあご が <b>できます</b>	She knows Italian.	0	できる	0
77	出す	take out	彼はかばんから教科書を<b>出した</b>。	かれ は かばん から きょうかしょ を <b>だした</b>	He took the textbook out of his bag.	0	だす	0
78	本	"book, volume"	<b>本</b>を１冊買いました。	<b>ほん</b> を いっさつ かいました	I bought one book.	0	ほん	0
79	休む	"take a day off, take a break"	明日、会社を<b>休みます</b>。	あした かいしゃ を <b>やすみます</b>	I'm off work tomorrow.	0	やすむ	0
80	体	"body, health"	私は<b>体</b>が丈夫だ。	わたし は <b>からだ</b> が じょうぶ だ	I'm physically strong.	0	からだ	0
81	目	eye	彼女は青い<b>目</b>をしています。	かのじょ は あおい <b>め</b> を して います	She has blue eyes.	0	め	0
82	どこ	where	あの本を<b>どこ</b>に置きましたか。	あの ほん を <b>どこ</b> に おきました か	Where did you put that book?	0	どこ	0
83	口	mouth	<b>口</b>を大きく開けてください。	<b>くち</b> を おおきく あけて ください	"Open wide, please."	0	くち	0
84	耳	"ear, hearing"	彼女は<b>耳</b>がよく聞こえません。	かのじょ は <b>みみ</b> が よく きこえません	Her hearing isn't very good.	0	みみ	0
85	上手	"good, skilled"	妹は歌が<b>上手</b>です。	いもうと は うた が <b>じょうず</b> です	My little sister can sing.	0	じょうず	0
86	手	hand	分かった人は<b>手</b>を上げてください。	わかった ひと は <b>て</b> を あげて ください	Please raise your hand if you understand.	0	て	0
87	足	"leg, foot"	彼は<b>足</b>が長い。	かれ は <b>あし</b> が ながい	He has long legs.	0	あし	0
88	男	"man, male"	<b>男</b>の人が私たちに話しかけた。	<b>おとこ</b> の ひと が わたしたち に はなしかけた	This guy began talking to us.	0	おとこ	0
89	女	"woman, girl"	店員は若い<b>女</b>の人でした。	てんいん は わかい <b>おんな</b> の ひと でした	The salesclerk was a young woman.	0	おんな	0
90	子供	"child, kid"	電車で<b>子供</b>が騒いでいた。	でんしゃ で <b>こども</b> が さわいで いた	Kids were making a racket in the train.	0	こども	0
91	あげる	give	この本、あなたに<b>あげます</b>。	この ほん あなた に <b>あげます</b>	I'll give you this book.	0	あげる	0
92	好き	"favorite, liked"	私はワインが<b>好き</b>です。	わたし は わいん が <b>すき</b> です	I like wine.	0	すき	0
93	大好き	love	私は犬が<b>大好き</b>だ。	わたし は いぬ が <b>だいすき</b> だ	I love dogs.	0	だいすき	0
94	友達	"friend, companion"	私には<b>友達</b>がたくさんいます。	わたし に は <b>ともだち</b> が たくさん います	I have a lot of friends.	0	ともだち	0
95	気	"spirit, temperament"	彼は意外に<b>気</b>が小さい。	かれ は いがい に <b>き</b> が ちいさい	He's unexpectedly timid.	0	き	0
96	天気	weather	今日はいい<b>天気</b>ですね。	きょう は いい <b>てんき</b> です ね	It's nice out today.	0	てんき	0
97	晴れる	"be sunny, clear up"	明日は<b>晴れる</b>といいですね。	あした は <b>はれる</b> と いい です ね	I hope it'll be sunny tomorrow.	0	はれる	0
98	こう	"like this, this kind of"	<b>こう</b>小さい字は読めない。	<b>こう</b> ちいさい じ は よめない	I can't read such small letters.	0	こう	0
99	閉じる	close	教科書を<b>閉じて</b>ください。	きょうかしょ を <b>とじて</b> ください	Please close your textbooks.	0	とじる	0
100	閉める	"shut, close"	ちゃんとドアを<b>閉めて</b>よ。	ちゃんと どあ を <b>しめて</b>よ	Close the door properly.	0	しめる	0
101	閉まる	"be shut, be closed"	お店はもう<b>閉まっていました</b>。	おみせ は もう <b>しまって いました</b>	The shop had already closed.	0	しまる	0
102	聞く	"hear, ask"	彼女はラジオを<b>聞いています</b>。	かのじょ は らじお を <b>きいて います</b>	She's listening to the radio.	0	きく	0
103	時間	"time, hour"	今は<b>時間</b>がありません。	いま は <b>じかん</b> が ありません	I don't have time now.	0	じかん	0
104	高い	"high, tall"	これがこの町で一番<b>高い</b>ビルです。	これ が この まち で いちばん <b>たかい</b> びる です	This is the tallest building in town.	0	たかい	0
105	くれる	be given	友達が誕生日プレゼントを<b>くれた</b>。	ともだち が たんじょうび ぷれぜんと を <b>くれた</b>	My friend gave me a birthday present.	0	くれる	0
106	安い	"inexpensive, cheap"	この服はとても<b>安かった</b>。	この ふく は とても <b>やすかった</b>	These clothes were very cheap.	0	やすい	0
107	低い	"low, short"	彼は背が<b>低い</b>。	かれ は せ が <b>ひくい</b>	He's short.	0	ひくい	0
108	前	"front, before"	その店の<b>前</b>で会いましょう。	その みせ の <b>まえ</b> で あいましょう	Let's meet in front of the shop.	0	まえ	0
109	後ろ	"back, behind"	<b>後ろ</b>を向いて。	<b>うしろ</b> を むいて	Turn around.	0	うしろ	0
110	午後	"afternoon, p.m."	明日の<b>午後</b>、お客様が来る。	あす の <b>ごご</b> おきゃくさま が くる	A guest is coming to visit tomorrow afternoon.	0	ごご	0
111	午前	"morning, a.m."	<b>午前</b>9時のニュースです。	<b>ごぜん</b> くじ の にゅーす です	And now for the 9.00 a.m. news.	0	ごぜん	0
112	朝	morning	気持ちのいい<b>朝</b>です。	きもち の いい <b>あさ</b> です	It's a pleasant morning.	0	あさ	0
113	昼	"daytime, midday"	私は<b>昼</b>のドラマを毎日見ます。	わたし は <b>ひる</b> の どらま を まいにち みます	I watch daytime dramas every day.	0	ひる	0
114	かなり	"fairly, rather"	彼は<b>かなり</b>英語が上手です。	かれ は <b>かなり</b> えいご が じょうず です	He's pretty good at English.	0	かなり	0
115	晩	evening (usually from sunset to bedtime)	<b>晩</b>ご飯は食べましたか。	<b>ばん</b>ごはん は たべました か	Have you had dinner?	0	ばん	0
116	今晩	"this evening, tonight"	<b>今晩</b>のパーティーは何時からですか。	<b>こんばん</b> の ぱーてぃー は なんじ から です か	From what time is the party tonight?	0	こんばん	0
117	食べる	eat	昨日タイカレーを<b>食べました</b>。	きのう たいかれー を <b>たべました</b>	I had Thai curry yesterday.	0	たべる	0
118	飲む	drink	友達とお酒を<b>飲んでいます</b>。	ともだち と おさけ を <b>のんで います</b>	I'm drinking sake with a friend.	0	のむ	0
119	ご飯	"cooked rice, meal"	私はパンより<b>ご飯</b>が好きだ。	わたし は ぱん より <b>ごはん</b> が すき だ	I prefer rice to bread.	0	ごはん	0
120	買う	buy	郵便局で切手を<b>買いました</b>。	ゆうびんきょく で きって を <b>かいました</b>	I bought a stamp at the post office.	0	かう	0
121	見る	"see, look at"	私は絵を<b>見る</b>のが好きです。	わたし は え を <b>みる</b> の が すき です	I like looking at pictures.	0	みる	0
122	見せる	show	その写真を<b>見せて</b>ください。	その しゃしん を <b>みせて</b> ください	Please show me those pictures.	0	みせる	0
123	もっと	more	<b>もっと</b>近くに来てください。	<b>もっと</b> ちかく に きて ください	Please come closer.	0	もっと	0
124	見つける	find	新しい仕事を<b>見つけました</b>。	あたらしい しごと を <b>みつけました</b>。	I found a new job.	0	みつける	0
125	見える	be visible	ここから富士山がよく<b>見えます</b>。	ここ から ふじさん が よく <b>みえます</b>	You can see Mount Fuji well from here.	0	みえる	0
126	見つかる	"be found, be caught"	メガネが<b>見つかりません</b>。	めがね が <b>みつかりません</b>	I can't find my glasses.	0	みつかる	0
127	言う	"say, tell"	上司が「一杯、飲もう。」と<b>言った</b>。	じょうし が いっぱい のもう と <b>いった</b>	"My boss said: """"Let's have a drink."""""	0	いう	0
128	話す	"speak, tell"	母と電話で<b>話しました</b>。	はは と でんわ で <b>はなしました</b>	I spoke to my mother on the phone.	0	はなす	0
129	読む	read	彼女は雑誌を<b>読んでいます</b>。	かのじょ は ざっし を <b>よんで います</b>	She's reading the magazine.	0	よむ	0
130	漢字	"character, kanji"	<b>漢字</b>は中国から来ました。	<b>かんじ</b> は ちゅうごく から きました	Kanji came from China.	0	かんじ	0
131	書く	write	彼に手紙を<b>書きました</b>。	かれ に てがみ を <b>かきました</b>	I wrote him a letter.	0	かく	0
132	覚える	"memorize, learn"	妹は平仮名を全部<b>覚えました</b>。	いもうと は ひらがな を ぜんぶ <b>おぼえました</b>	My little sister learned all the hiragana.	0	おぼえる	0
133	そこ	there	<b>そこ</b>に座ってください。	<b>そこ</b> に すわって ください	Please sit there.	0	そこ	0
134	会う	meet	また<b>会いましょう</b>。	また <b>あいましょう</b>	Let's meet again.	0	あう	0
135	仕事	"work, job"	3月は<b>仕事</b>が忙しい。	さんがつ は <b>しごと</b> が いそがしい	I have a lot of work in March.	0	しごと	0
136	場合	"situation, case"	分からない<b>場合</b>は私に聞いてください。	わからない <b>ばあい</b> は わたし に きいて ください	Please ask me if you don't understand.	0	ばあい	0
137	電車	train	私は<b>電車</b>で通学しています。	わたし は <b>でんしゃ</b> で つうがく して います	I go to school by train.	0	でんしゃ	0
138	駅	railway station	<b>駅</b>はどこですか。	<b>えき</b> は どこ です か	Where's the station?	0	えき	0
139	道	"road, street"	この<b>道</b>を真っ直ぐ行くと駅です。	この <b>みち</b> を まっすぐ いく と えき です	Go straight along this road to get to the station.	0	みち	0
140	ここ	here	<b>ここ</b>に本があります。	<b>ここ</b> に ほん が あります	There's a book here.	0	ここ	0
141	歩く	"walk, go on foot"	駅まで<b>歩きましょう</b>。	えき まで <b>あるきましょう</b>	Let's walk to the station.	0	あるく	0
142	走る	run	彼は毎晩3キロ<b>走っています</b>。	かれ は まいばん さんきろ <b>はしって います</b>	Every night he runs three kilometers.	0	はしる	0
143	近い	"near, soon"	駅はここから<b>近い</b>です。	えき は ここ から <b>ちかい</b> です	The station is near here.	0	ちかい	0
144	近く	"near, close to@vicinity, nearby"	駅の<b>近く</b>で食事をした。@私の家は駅の<b>近く</b>です。	えき の <b>ちかく</b> で しょくじ を した@わたし の いえ は えき の <b>ちかく</b> です	I ate near the station.@My house is near the station.	0	ちかく@ちかく	0
145	遠い	"far, distant"	家から学校までは<b>遠い</b>です。	いえ から がっこう まで は <b>とおい</b> です	It's a long way from my house to the school.	0	とおい	0
146	長い	long	彼女の髪はとても<b>長い</b>。	かのじょ の かみ は とても <b>ながい</b>	Her hair is very long.	0	ながい	0
147	短い	"short, brief"	彼は足が<b>短い</b>。	かれ は あし が <b>みじかい</b>	His legs are short.	0	みじかい	0
148	広い	"wide, big"	彼の家はとても<b>広い</b>。	かれ の いえ は とても <b>ひろい</b>	His house is very big.	0	ひろい	0
149	もらう	receive	彼女からプレゼントを<b>もらいました</b>。	かのじょ から ぷれぜんと を <b>もらいました</b>	I got a present from her.	0	もらう	0
150	全部	"all, wholly"	それ、<b>全部</b>ください。	それ <b>ぜんぶ</b> ください	"I'd like all of those, please."	0	ぜんぶ	0
151	国	country	私の<b>国</b>について少しお話しましょう。	わたし の <b>くに</b> に ついて すこし おはなし しましょう	Let me tell you a bit about my country.	0	くに	0
152	白い	"white, blank"	彼は歯が<b>白い</b>。	かれ は は が <b>しろい</b>	His teeth are white.	0	しろい	0
153	赤い	red	<b>赤い</b>バラを買いました。	<b>あかい</b> ばら を かいました	I bought a red rose.	0	あかい	0
154	部屋	room	私の<b>部屋</b>は2階にあります。	わたし の <b>へや</b> は にかい に あります	My room is on the second floor.	0	へや	0
155	米	rice (grain)	日本人はお<b>米</b>が大好きです。	にほんじん は お<b>こめ</b> が だいすき です	Japanese people love rice.	0	こめ	0
156	未だ	"yet, more"	宿題は<b>未だ</b>終わっていません。	しゅくだい は <b>まだ</b> おわって いません	I haven't finished my homework yet.	0	まだ	0
157	有る	"exist, possess"	私の机の上に書類がたくさん<b>有ります</b>。	わたし の つくえ の うえ に しょるい が たくさん <b>あります</b>	There are a lot of documents on my desk.	0	ある	0
158	無い	to not be	ここには何も<b>無い</b>。	ここ に は なに も <b>ない</b>	There's nothing here.	0	ない	0
159	とても	very	この本は<b>とても</b>おもしろい。	この ほん は <b>とても</b> おもしろい	This book is very interesting.	0	とても	0
160	作る	"make, create"	今、朝ご飯を<b>作っています</b>。	いま あさごはん を <b>つくって います</b>	I'm making breakfast now.	0	つくる	0
161	使う	use	このパソコンを<b>使って</b>ください。	この ぱそこん を <b>つかって</b> ください	Please use this computer.	0	つかう	0
162	消す	"switch off, turn off"	昼間は電気を<b>消して</b>ください。	ひるま は でんき を <b>けして</b> ください	Please turn the lights off during the day.	0	けす	0
163	売る	sell	彼は家を<b>売った</b>。	かれ は いえ を <b>うった</b>	He sold the house.	0	うる	0
164	店	"shop, store"	私はこの<b>店</b>によく来ます。	わたし は この <b>みせ</b> に よく きます	I come to this store quite often.	0	みせ	0
165	春	spring	今年の<b>春</b>は暖かいね。	ことし の <b>はる</b> は あたたかい ね	"It's warm this spring, isn't it."	0	はる	0
166	夏	summer	私は<b>夏</b>が大好き。	わたし は <b>なつ</b> が だいすき	I just love summer.	0	なつ	0
167	秋	"autumn, fall"	彼女は<b>秋</b>に結婚します。	かのじょ は <b>あき</b> に けっこん します	She'll get married this fall.	0	あき	0
168	冬	winter	カナダの<b>冬</b>はとても寒いです。	かなだ の <b>ふゆ</b> は とても さむい です	Canada's winters are very cold.	0	ふゆ	0
169	みんな	"all, everybody"	<b>みんな</b>にお菓子をあげましょう。	<b>みんな</b> に おかし を あげましょう	Let's give everyone some sweets.	0	みんな	0
170	暑い	"hot, warm (temperature of the air)"	今日はとても<b>暑い</b>。	きょう は とても <b>あつい</b>	It's very hot today.	0	あつい	0
171	熱い	"hot (things, touch)"	このスープはとても<b>熱い</b>。	この すーぷ は とても <b>あつい</b>	This soup is very hot.	0	あつい	0
172	寒い	cold (temperature of the air)	この部屋は<b>寒い</b>です。	この へや は <b>さむい</b> です	It's cold in this room.	0	さむい	0
173	暖かい	warm	このコートはとても<b>暖かい</b>。	この こーと は とても <b>あたたかい</b>。	This coat is really warm.	0	あたたかい	0
174	新しい	new	彼の車は<b>新しい</b>。	かれ の くるま は <b>あたらしい</b>	His car is new.	0	あたらしい	0
175	古い	old	私は<b>古い</b>車が好きです。	わたし は <b>ふるい</b> くるま が すき です	I like old cars.	0	ふるい	0
176	悪い	bad	たばこは体に<b>悪い</b>。	たばこ は からだ に <b>わるい</b>	Cigarettes are bad for your health.	0	わるい	0
177	七	seven@seven	バナナが<b>七</b>本あります。@そのグループのメンバーは全部で<b>七</b>人だ。	ばなな が <b>なな</b>ほん あります@その ぐるーぷ の めんばー は ぜんぶ で <b>しち</b>にん だ	There are seven bananas.@There are seven members of the group in all.	0	なな@しち	0
178	思う	think	私もそう<b>思います</b>。	わたし も そう <b>おもいます</b>	I think so too.	0	おもう	0
179	なる	become@become	彼は医者に<b>なりました</b>。@柿の木に実がたくさん<b>なっています</b>。	かれ は いしゃ に <b>なりました</b>@かきのき に み が たくさん <b>なって います</b>	He became a doctor.@A lot of fruit is ripening on the persimmon tree.	0	なる@なる	0
180	忘れる	"forget, leave behind"	約束を<b>忘れないで</b>ください。	やくそく を <b>わすれない で</b> ください	Please don't forget your promise.	0	わすれる	0
181	九	nine@nine	野球は<b>九</b>人で1チームです。@私は<b>九</b>月に行く予定です。	やきゅう は <b>きゅう</b>にん で ひとちーむ です@わたし は <b>く</b>がつ に いく よてい です	In baseball there are nine people on one team.@I plan to go in September.	0	きゅう@く	0
182	考える	"think, consider"	よく<b>考えて</b>ください。	よく <b>かんがえて</b> ください	Please think carefully.	0	かんがえる	0
183	決める	"decide, agree upon"	帰国することに<b>決めました</b>。	きこく する こと に <b>きめました</b>	I've decided to go back to my country.	0	きめる	0
184	決まる	be decided	旅行の日程が<b>決まりました</b>。	りょこう の にってい が <b>きまりました</b>	I've decided on my travel schedule.	0	きまる	0
185	知る	know	誰もその話を<b>知らない</b>。	だれ も その はなし を <b>しらない</b>	No one knows that story.	0	しる	0
186	一番	most	彼はクラスで<b>一番</b>背が高い。	かれ は くらす で <b>いちばん</b> せ が たかい	He's the tallest in class.	0	いちばん	0
187	住む	"live, reside"	彼は会社の近くに<b>住んでいる</b>。	かれ は かいしゃ の ちかく に <b>すんで いる</b>	He lives near his office.	0	すむ	0
188	名前	name	あなたの<b>名前</b>を教えてください。	あなた の <b>なまえ</b> を おしえて ください	Please tell me your name.	0	なまえ	0
189	食べ物	food	日本の<b>食べ物</b>はとても美味しいです。	にっぽん の <b>たべもの</b> は とても おいしい です	Japanese food is very delicious.	0	たべもの	0
190	いつ	when	彼女は<b>いつ</b>来ますか。	かのじょ は <b>いつ</b> きます か	When is she coming?	0	いつ	0
191	飲み物	"beverage, drink"	何か<b>飲み物</b>が欲しいな。	なに か <b>のみもの</b> が ほしい な 。	I could really use something to drink.	0	のみもの	0
192	重い	heavy	このかばんは<b>重い</b>です。	この かばん は <b>おもい</b> です	This bag is heavy.	0	おもい	0
193	軽い	"light, light weight"	この靴はとても<b>軽い</b>。	この くつ は とても <b>かるい</b>	These shoes are very light.	0	かるい	0
194	送る	send	彼の家に荷物を<b>送りました</b>。	かれ の いえ に にもつ を <b>おくりました</b>	I sent a package to his house.	0	おくる	0
195	取る	"take, get"	テストでいい点を<b>取った</b>。	てすと で いい てん を <b>とった</b>	I got a good grade on the test.	0	とる	0
